appid,genres
1071490,Indie;RPG
1071870,Action;Adventure;Casual;Indie;Simulation;Sports;Strategy
107200,Action;Indie;RPG;Strategy
1072040,Strategy
1072120,Casual;Indie;Sports
1072150,Action;Adventure;Indie;RPG
1072190,Action;Strategy
1072270,Action;Casual;Indie
1072390,Adventure;Casual;Free To Play;Indie
1072420,Action;Adventure;RPG
1072480,Action;Adventure;Casual;Massively Multiplayer;Simulation;Sports;Strategy
1072500,Sports
1072590,Casual;Indie;Strategy
1072860,Adventure;Casual;Indie;Simulation
1072920,Casual;Indie
107310,Indie;RPG
1073210,Indie;Simulation;Strategy
1073310,Casual;Indie
1073320,Indie;RPG;Strategy
1073390,Casual;Free To Play;Indie
1073440,Simulation
1073770,Casual;Indie;RPG
1073820,Adventure;Indie
1073900,Indie
1073910,Casual;Indie;Simulation;Strategy
1074070,Adventure;Indie;RPG;Simulation;Strategy
1074080,Casual
107410,Action;Simulation;Strategy
1070260,
1074170,Adventure;Indie
1074190,Adventure;Indie;RPG;Strategy
1074370,Casual;Indie
1074520,Adventure;Indie
1074620,Action;Indie;RPG
1074820,Adventure;Casual;Massively Multiplayer;RPG;Free To Play
1075080,Action;Adventure;Casual;Indie;Simulation
1075170,Action;Adventure;Indie
1075190,Strategy
1075200,Adventure;Indie
1075400,Adventure
1075550,Action;Indie;RPG
1075740,RPG;Strategy
1075980,Adventure;Indie
107600,Action;Indie
1076070,Action;Casual;Indie
1076100,Adventure;Casual;RPG;Strategy
1076160,Simulation
1076200,Adventure;Indie;RPG;Strategy
1076210,Casual;Indie
1076500,Action;Free To Play;Indie;Massively Multiplayer;Strategy
1076550,Action
1076600,Action;Adventure;Indie;Early Access
1076620,Adventure;Indie
1076750,Indie;RPG;Simulation;Strategy
1076920,Casual;Indie;Massively Multiplayer;Strategy
1077080,Free To Play
1077430,Casual;Indie
1077450,Action;Adventure;Indie;RPG
1077470,Casual;Indie;Simulation
1077520,Adventure;Indie;Simulation
1077530,Casual;Indie;Simulation;Early Access
1077760,Adventure;Indie;Strategy
1077970,Adventure;Indie
1078280,Indie;RPG
1078200,Action;Adventure;Indie
1078320,Indie;RPG
1078330,Indie;RPG
1078350,Indie;RPG
1078380,Indie;RPG
1078420,Action;Adventure;Indie
1078490,Action;Adventure;Indie
1078510,Adventure;Casual;RPG
1078730,Free To Play;Sports
1078760,Casual;Indie;Racing;Simulation
1078920,Simulation
1078970,Indie
1079000,Adventure;Casual;Indie;RPG;Strategy;Free To Play
1079160,Action;Indie
1079200,Action;Adventure;Indie
1079210,Action
1079230,Action;Adventure;Indie;RPG;Early Access
1079260,Action;Casual;Indie;Simulation
